id,nom,description,type
1181,Génie Industriel,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
1182,Mathématiques Appliquées,Formation sur la gestion des systèmes d'information et leur optimisation,License
1183,Informatique,Formation sur la gestion des systèmes d'information et leur optimisation,Master
1184,Informatique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur
1185,Télécommunications,Formation en conception et gestion des systèmes électroniques,Doctorat
1186,Génie Civil,Formation en conception et gestion des systèmes électroniques,License
1187,Génie Industriel,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
1188,Télécommunications,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
1189,Mécanique,Formation sur la gestion et l'amélioration des processus industriels,Master
1190,Génie Civil,Formation en conception et gestion de structures civiles,Master
1191,Informatique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master
1192,Architecture,Formation sur la gestion et l'amélioration des processus industriels,License
1193,Mécanique,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
1194,Électronique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Master
1195,Architecture,Formation en conception et gestion de structures civiles,License
1196,Mathématiques Appliquées,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
1197,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",License
1198,Architecture,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
1199,Génie Civil,Formation sur la gestion des systèmes d'information et leur optimisation,Master
1200,Mathématiques Appliquées,Formation en conception et gestion des systèmes électroniques,License
1201,Mathématiques Appliquées,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
1202,Architecture,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
1203,Télécommunications,Formation en conception et gestion d'espaces architecturaux et urbains,Master
1204,Ingénierie des Systèmes,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
1205,Génie Industriel,Formation sur la gestion des systèmes d'information et leur optimisation,Master
1206,Architecture,Formation en conception et gestion des systèmes électroniques,Doctorat
1207,Architecture,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
1208,Mathématiques Appliquées,Formation en conception et gestion des systèmes électroniques,Master
1209,Télécommunications,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
1210,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",License
1211,Ingénierie des Systèmes,"Formation en conception, installation et maintenance de réseaux de télécommunication",License
1212,Mécanique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
1213,Ingénierie Environnementale,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat
1214,Ingénierie des Systèmes,Formation sur la gestion des systèmes d'information et leur optimisation,License
1215,Télécommunications,Formation en conception et gestion de structures civiles,Doctorat
1216,Informatique,Formation en conception et gestion d'espaces architecturaux et urbains,Doctorat
1217,Ingénierie des Systèmes,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Cycle ingénieur
1218,Génie Civil,"Formation en conception, fabrication et maintenance de machines",Doctorat
1219,Génie Industriel,Formation en conception et gestion d'espaces architecturaux et urbains,License
1220,Génie Industriel,Formation sur la gestion et l'amélioration des processus industriels,Doctorat
1221,Ingénierie Environnementale,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Master
1222,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,Doctorat
1223,Génie Industriel,Formation en résolution de problèmes complexes à l'aide de techniques mathématiques,License
1224,Génie Civil,Formation sur la gestion des systèmes d'information et leur optimisation,License
1225,Mécanique,Formation en conception et gestion des systèmes électroniques,Cycle ingénieur
1226,Génie Civil,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
1227,Télécommunications,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,License
1228,Génie Civil,Formation en conception et gestion des systèmes électroniques,Doctorat
1229,Architecture,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
1230,Architecture,Formation en conception et gestion de structures civiles,License
1231,Ingénierie Environnementale,Formation en conception et gestion d'espaces architecturaux et urbains,Cycle ingénieur
1232,Ingénierie Environnementale,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
1233,Télécommunications,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Doctorat
1234,Architecture,Formation en conception et gestion des systèmes électroniques,Doctorat
1235,Électronique,"Formation en conception, installation et maintenance de réseaux de télécommunication",Cycle ingénieur
1236,Électronique,Formation en conception et gestion d'espaces architecturaux et urbains,Master
1237,Télécommunications,"Formation en conception, fabrication et maintenance de machines",License
1238,Électronique,Formation en gestion durable des ressources naturelles et en ingénierie environnementale,Cycle ingénieur
1239,Architecture,Formation en conception et gestion des systèmes électroniques,License
1240,Électronique,"Formation en conception, fabrication et maintenance de machines",Cycle ingénieur
1241,Mécanique,"Formation en conception, installation et maintenance de réseaux de télécommunication",License
1242,Mathématiques Appliquées,"Formation en conception, installation et maintenance de réseaux de télécommunication",Doctorat
1243,Mécanique,Formation en conception et gestion de structures civiles,Cycle ingénieur
1244,Ingénierie Environnementale,Formation en conception et gestion de structures civiles,Cycle ingénieur
1245,Ingénierie Environnementale,"Formation en conception, fabrication et maintenance de machines",Master
1246,Ingénierie des Systèmes,"Formation en conception, fabrication et maintenance de machines",Doctorat
1247,Ingénierie Environnementale,Formation sur la gestion des systèmes d'information et leur optimisation,Doctorat
